"RNAseq1" "RNAseq2" "RNAseq3" "RNAseq4" "RNAseq5" "RNAseq6" "RNAseq7" "RNAseq8"
"ENSBTAG00000000005" 252 306 333 240 514 336 315 334
"ENSBTAG00000000008" 0 0 3 9 1 1 1 3
"ENSBTAG00000000009" 138 161 138 60 303 140 97 117
"ENSBTAG00000000010" 458 608 527 459 641 498 377 408
"ENSBTAG00000000011" 8 7 2 3 3 1 0 4
"ENSBTAG00000000012" 318 372 392 376 291 213 295 291
"ENSBTAG00000000013" 1862 1730 2182 1686 2225 1538 1538 1813
"ENSBTAG00000000014" 1276 1733 1325 882 1177 1465 969 759
"ENSBTAG00000000015" 2071 1841 2006 765 3025 796 1270 1508
"ENSBTAG00000000016" 0 0 2 0 3 4 0 3
"ENSBTAG00000000019" 3099 3532 3486 3503 2859 2581 3405 2519
"ENSBTAG00000000020" 1 3 6 0 6 7 5 2
"ENSBTAG00000000021" 1094 1152 1170 1275 788 826 807 804
"ENSBTAG00000000022" 254 283 251 252 298 247 248 144
"ENSBTAG00000000023" 1160 1223 1548 937 2144 973 1131 1625
"ENSBTAG00000000024" 1762 1649 1712 1556 2698 1290 1451 1501
"ENSBTAG00000000025" 5572 5598 6145 4807 7757 3847 3857 4900
"ENSBTAG00000000026" 730 670 608 475 784 658 482 540
"ENSBTAG00000000027" 0 0 3 0 0 0 0 2
"ENSBTAG00000000029" 0 0 0 0 0 0 2 0
"ENSBTAG00000000030" 20 29 48 40 83 56 22 56
"ENSBTAG00000000031" 61 45 74 54 118 38 38 53
"ENSBTAG00000000032" 28 57 55 12 110 53 34 42
"ENSBTAG00000000033" 5 9 2 10 14 13 3 3
"ENSBTAG00000000037" 672 882 1007 965 1046 791 651 758
"ENSBTAG00000000039" 356 510 582 383 484 336 309 341
"ENSBTAG00000000040" 82 105 104 69 103 51 84 58
"ENSBTAG00000000042" 239 367 354 271 704 259 189 297
"ENSBTAG00000000044" 0 0 3 0 0 0 0 1
"ENSBTAG00000000046" 50 87 51 78 94 63 29 54
"ENSBTAG00000000049" 302 391 565 367 292 258 381 391
"ENSBTAG00000000050" 192 233 215 228 222 222 139 124
"ENSBTAG00000000052" 190 160 286 173 699 188 230 348
"ENSBTAG00000000053" 859 1020 1063 1014 1757 553 906 914
"ENSBTAG00000000054" 224 348 434 258 285 284 271 242
"ENSBTAG00000000056" 506 579 693 402 770 485 450 502
"ENSBTAG00000000057" 455 474 411 488 1591 945 510 469
"ENSBTAG00000000059" 4 1 3 0 9 0 5 6
"ENSBTAG00000000060" 0 0 0 0 1 0 0 0
"ENSBTAG00000000061" 598 470 554 587 400 173 249 351
"ENSBTAG00000000062" 87 147 78 115 157 64 102 89
"ENSBTAG00000000064" 148 208 128 228 339 165 80 138
"ENSBTAG00000000065" 625 728 745 683 834 543 541 640
"ENSBTAG00000000066" 0 0 3 2 1 0 0 2
"ENSBTAG00000000067" 40 201 46 173 163 69 36 62
"ENSBTAG00000000070" 0 0 7 0 1 0 0 0
"ENSBTAG00000000071" 0 0 0 1 0 0 0 0
"ENSBTAG00000000072" 311 381 360 352 377 382 347 291
"ENSBTAG00000000073" 358 845 613 671 938 513 511 493
"ENSBTAG00000000074" 1511 1130 1170 1099 2814 829 731 1777
"ENSBTAG00000000076" 1029 1002 1100 775 1197 789 987 983
"ENSBTAG00000000077" 608 838 629 660 964 656 540 498
"ENSBTAG00000000078" 803 1235 1082 1036 1414 1406 1282 920
"ENSBTAG00000000079" 22 26 48 32 117 43 64 61
"ENSBTAG00000000080" 285 308 288 252 349 284 199 243
"ENSBTAG00000000081" 1893 1763 2008 1774 1907 1197 2081 1528
"ENSBTAG00000000082" 0 1 3 0 0 2 5 2
"ENSBTAG00000000084" 304 422 490 331 596 418 286 426
"ENSBTAG00000000085" 0 0 0 0 0 1 0 1
"ENSBTAG00000000087" 4518 3884 4291 3678 4251 3110 2645 2831
"ENSBTAG00000000088" 511 401 873 197 546 298 752 453
"ENSBTAG00000000090" 332 266 320 184 347 279 314 228
"ENSBTAG00000000091" 976 1354 976 953 989 1097 883 659
"ENSBTAG00000000092" 402 370 346 282 663 307 281 348
"ENSBTAG00000000094" 282 310 404 351 371 248 274 262
"ENSBTAG00000000095" 43 40 115 26 94 49 91 67
"ENSBTAG00000000097" 1789 1458 1884 1612 2851 1440 1367 2033
"ENSBTAG00000000098" 1050 1013 1415 815 1611 906 1103 1057
"ENSBTAG00000000099" 2499 2898 3243 3004 4111 2321 2026 2789
"ENSBTAG00000000100" 0 0 0 0 0 1 0 0
"ENSBTAG00000000102" 8 10 17 28 16 3 10 15
"ENSBTAG00000000103" 222 367 277 138 147 224 197 137
"ENSBTAG00000000105" 3000 3786 4086 3160 4234 3037 3204 3302
"ENSBTAG00000000106" 335 489 576 356 276 289 374 328
"ENSBTAG00000000108" 1026 1060 1660 976 1734 954 1093 1187
"ENSBTAG00000000109" 103 124 89 98 162 69 65 151
"ENSBTAG00000000111" 2498 2889 2382 2447 2757 2187 2214 2124
"ENSBTAG00000000113" 1476 1600 1924 1308 2162 1624 1953 1370
"ENSBTAG00000000115" 1452 1290 1369 1240 1394 1219 1380 1255
"ENSBTAG00000000118" 0 0 0 0 0 0 0 0
"ENSBTAG00000000119" 0 0 0 1 0 0 0 0
"ENSBTAG00000000120" 98 104 134 57 138 78 87 88
"ENSBTAG00000000123" 1 0 2 0 0 1 1 0
"ENSBTAG00000000124" 2 17 10 10 9 5 12 7
"ENSBTAG00000000125" 555 686 639 590 844 561 577 724
"ENSBTAG00000000128" 24 21 12 0 34 17 1 24
"ENSBTAG00000000130" 116 109 132 107 158 124 113 96
"ENSBTAG00000000131" 739 930 770 481 936 690 734 586
"ENSBTAG00000000132" 8829 10719 9056 7965 15000 9384 6977 8281
"ENSBTAG00000000133" 157 295 312 186 803 465 152 610
"ENSBTAG00000000134" 686 707 882 718 761 642 577 675
"ENSBTAG00000000137" 5152 3948 4719 3339 6306 3445 4100 4695
"ENSBTAG00000000138" 4 0 2 0 0 1 0 0
"ENSBTAG00000000139" 261 283 209 226 626 163 133 270
"ENSBTAG00000000140" 1109 552 771 1747 802 935 2207 941
"ENSBTAG00000000141" 672 826 971 814 822 835 546 725
"ENSBTAG00000000144" 27 68 99 49 41 32 34 60
"ENSBTAG00000000145" 0 0 0 0 0 0 0 0
"ENSBTAG00000000146" 2333 2328 2377 1795 3664 2008 1957 2369
"ENSBTAG00000000147" 496 467 438 450 747 289 339 518
"ENSBTAG00000000149" 2024 1751 2523 1697 2400 1554 1960 1865
"ENSBTAG00000000152" 7648 6643 8146 6429 11781 5741 5682 7866
"ENSBTAG00000000153" 78 123 100 79 166 89 72 106
"ENSBTAG00000000154" 273 332 437 308 441 219 199 310
"ENSBTAG00000000156" 413 431 536 481 592 286 404 410
"ENSBTAG00000000157" 171 153 144 222 184 133 175 158
"ENSBTAG00000000158" 0 0 2 0 0 0 0 1
"ENSBTAG00000000160" 397 670 281 407 515 229 205 197
"ENSBTAG00000000161" 6 4 2 6 2 4 12 4
"ENSBTAG00000000162" 1094 1274 1167 1168 881 973 922 994
"ENSBTAG00000000163" 1198 2655 1170 1300 1689 839 1092 1352
"ENSBTAG00000000164" 2 3 1 1 5 4 7 3
"ENSBTAG00000000168" 0 0 0 0 0 0 0 0
"ENSBTAG00000000169" 49 101 84 50 86 26 63 102
"ENSBTAG00000000170" 10 36 17 11 27 24 20 7
"ENSBTAG00000000171" 0 0 0 0 0 0 0 0
"ENSBTAG00000000172" 0 5 4 0 0 0 2 1
"ENSBTAG00000000175" 2523 2599 3000 2572 3231 2009 2288 2450
"ENSBTAG00000000176" 4568 5245 6844 4630 7172 4552 5261 4919
"ENSBTAG00000000177" 109 44 343 122 188 14 158 438
"ENSBTAG00000000179" 71 84 94 71 102 60 50 75
"ENSBTAG00000000181" 21 18 42 9 59 32 50 46
"ENSBTAG00000000182" 2731 4440 3225 2733 2567 2354 2449 1924
"ENSBTAG00000000183" 58 133 187 91 84 67 86 138
"ENSBTAG00000000184" 1510 1649 1695 1300 2678 1194 1100 1587
"ENSBTAG00000000185" 182 154 209 107 109 69 259 107
"ENSBTAG00000000186" 240 296 191 260 220 193 143 153
"ENSBTAG00000000188" 6 6 3 0 4 2 18 0
"ENSBTAG00000000189" 49 32 64 38 43 24 62 54
"ENSBTAG00000000191" 597 723 390 497 496 506 578 390
