ID	ensembl_gene_id
A_73_112733	ENSBTAG00000000005
A_73_109892	ENSBTAG00000000008
A_73_P066806	ENSBTAG00000000009
A_73_113020	ENSBTAG00000000010
A_73_P251671	ENSBTAG00000000010
A_73_P069986	ENSBTAG00000000012
A_73_110466	ENSBTAG00000000014
A_73_P303006	ENSBTAG00000000014
A_73_P091141	ENSBTAG00000000015
A_73_P453886	ENSBTAG00000000015
A_73_P389336	ENSBTAG00000000013
A_73_P050471	ENSBTAG00000000013
A_73_107370	ENSBTAG00000000013
A_73_P304351	ENSBTAG00000000013
A_73_P311056	ENSBTAG00000000013
A_73_P069981	ENSBTAG00000000013
A_73_P472333	ENSBTAG00000000013
A_73_P312031	ENSBTAG00000000013
A_73_111789	ENSBTAG00000000016
A_73_P273506	ENSBTAG00000000021
A_73_120721	ENSBTAG00000000021
A_73_119227	ENSBTAG00000000022
A_73_P338506	ENSBTAG00000000022
A_73_P050161	ENSBTAG00000000023
A_73_P114116	ENSBTAG00000000025
A_73_P338636	ENSBTAG00000000026
A_73_119457	ENSBTAG00000000026
A_73_103795	ENSBTAG00000000029
A_73_P066096	ENSBTAG00000000030
A_73_P330496	ENSBTAG00000000030
A_73_P071051	ENSBTAG00000000031
A_73_104606	ENSBTAG00000000032
A_73_P439321	ENSBTAG00000000032
A_73_P065576	ENSBTAG00000000033
A_73_114876	ENSBTAG00000000037
A_73_P362896	ENSBTAG00000000039
A_73_P051096	ENSBTAG00000000039
A_73_P324731	ENSBTAG00000000039
A_73_P387351	ENSBTAG00000000039
A_73_P033456	ENSBTAG00000000040
A_73_P333671	ENSBTAG00000000042
A_73_113219	ENSBTAG00000000042
A_73_P391821	ENSBTAG00000005835
A_73_111042	ENSBTAG00000005835
A_73_P031741	ENSBTAG00000000044
A_73_102396	ENSBTAG00000000044
A_73_P301376	ENSBTAG00000000044
A_73_110641	ENSBTAG00000000046
A_73_111891	ENSBTAG00000000050
A_73_109851	ENSBTAG00000000052
A_73_P083481	ENSBTAG00000000054
A_73_P446646	ENSBTAG00000000057
A_73_100410	ENSBTAG00000000057
A_73_103723	ENSBTAG00000000060
A_73_116821	ENSBTAG00000000061
A_73_100307	ENSBTAG00000000064
A_73_P306971	ENSBTAG00000000065
A_73_110768	ENSBTAG00000000065
A_73_P273916	ENSBTAG00000000065
A_73_P073996	ENSBTAG00000000066
A_73_P033746	ENSBTAG00000000067
A_73_P457116	ENSBTAG00000038171
A_73_P072496	ENSBTAG00000038171
A_73_114371	ENSBTAG00000037526
A_73_P251221	ENSBTAG00000000072
A_73_119666	ENSBTAG00000000072
A_73_P487718	ENSBTAG00000000073
A_73_P203907	ENSBTAG00000000073
A_73_P311301	ENSBTAG00000000073
A_73_P030776	ENSBTAG00000000073
A_73_P115191	ENSBTAG00000000076
A_73_P475753	ENSBTAG00000000077
A_73_117648	ENSBTAG00000000077
A_73_P048056	ENSBTAG00000000078
A_73_P301351	ENSBTAG00000000078
A_73_P059036	ENSBTAG00000000079
A_73_119682	ENSBTAG00000000080
A_73_101411	ENSBTAG00000000082
A_73_109848	ENSBTAG00000000084
A_73_112416	ENSBTAG00000000081
A_73_109064	ENSBTAG00000000085
A_73_P047911	ENSBTAG00000000085
A_73_P257496	ENSBTAG00000000087
A_73_114330	ENSBTAG00000000087
A_73_P252711	ENSBTAG00000000087
A_73_P253411	ENSBTAG00000000087
A_73_102181	ENSBTAG00000000090
A_73_114438	ENSBTAG00000000091
A_73_P038606	ENSBTAG00000000092
A_73_P086171	ENSBTAG00000033316
A_73_P115901	ENSBTAG00000000094
A_73_P093486	ENSBTAG00000000097
A_73_P405851	ENSBTAG00000000097
A_73_P092501	ENSBTAG00000000098
A_73_P274156	ENSBTAG00000000099
A_73_P318701	ENSBTAG00000000099
A_73_103913	ENSBTAG00000000099
A_73_P331741	ENSBTAG00000000099
A_73_P082476	ENSBTAG00000000102
A_73_101291	ENSBTAG00000000103
A_73_P313311	ENSBTAG00000000105
A_73_P040726	ENSBTAG00000000105
A_73_P126366	ENSBTAG00000000106
A_73_P063976	ENSBTAG00000000106
A_73_P353096	ENSBTAG00000000108
A_73_P258986	ENSBTAG00000000108
A_73_116987	ENSBTAG00000000108
A_73_P475508	ENSBTAG00000000108
A_73_P358051	ENSBTAG00000000115
A_73_P035886	ENSBTAG00000000123
A_73_110403	ENSBTAG00000000124
A_73_P070551	ENSBTAG00000000125
A_73_P295081	ENSBTAG00000000128
A_73_102234	ENSBTAG00000000128
A_73_116859	ENSBTAG00000000130
A_73_105502	ENSBTAG00000000131
A_73_121251	ENSBTAG00000000132
A_73_P253726	ENSBTAG00000000132
A_73_106271	ENSBTAG00000000133
A_73_P399391	ENSBTAG00000000133
A_73_P349861	ENSBTAG00000000134
A_73_P376561	ENSBTAG00000000134
A_73_104134	ENSBTAG00000000134
A_73_P115361	ENSBTAG00000000137
A_73_103411	ENSBTAG00000000137
A_73_P269321	ENSBTAG00000000140
A_73_P032891	ENSBTAG00000000140
A_73_P276536	ENSBTAG00000000139
A_73_P033196	ENSBTAG00000000139
A_73_P064091	ENSBTAG00000000138
A_73_110689	ENSBTAG00000000141
A_73_P077491	ENSBTAG00000000146
A_73_P374626	ENSBTAG00000000146
A_73_P091071	ENSBTAG00000025837
A_73_P111046	ENSBTAG00000025837
A_73_102476	ENSBTAG00000000149
A_73_P466938	ENSBTAG00000000149
A_73_P263096	ENSBTAG00000000153
A_73_P313166	ENSBTAG00000000153
A_73_106266	ENSBTAG00000000153
A_73_P067801	ENSBTAG00000000154
A_73_P082521	ENSBTAG00000000157
A_73_118835	ENSBTAG00000000160
A_73_118175	ENSBTAG00000000162
A_73_P395511	ENSBTAG00000000162
A_73_P129266	ENSBTAG00000000162
A_73_P327121	ENSBTAG00000000163
A_73_102351	ENSBTAG00000000163
A_73_P032536	ENSBTAG00000000164
A_73_P082686	ENSBTAG00000000168
A_73_P110376	ENSBTAG00000000169
A_73_120984	ENSBTAG00000000170
A_73_112668	ENSBTAG00000000172
A_73_P500028	ENSBTAG00000000172
A_73_113051	ENSBTAG00000000175
A_73_P094336	ENSBTAG00000000176
A_73_P263591	ENSBTAG00000000177
A_73_P039726	ENSBTAG00000000177
A_73_106293	ENSBTAG00000000179
A_73_P086811	ENSBTAG00000000181
A_73_P269376	ENSBTAG00000000182
A_73_101297	ENSBTAG00000000182
A_73_P471873	ENSBTAG00000000185
A_73_105882	ENSBTAG00000000185
A_73_P235797	ENSBTAG00000000185
A_73_P308421	ENSBTAG00000000185
A_73_110020	ENSBTAG00000000184
A_73_P462561	ENSBTAG00000000184
A_73_P363421	ENSBTAG00000000184
A_73_102318	ENSBTAG00000000186
A_73_120348	ENSBTAG00000000188
A_73_P311061	ENSBTAG00000000188
A_73_108404	ENSBTAG00000000189
A_73_118542	ENSBTAG00000000191
A_73_P046016	ENSBTAG00000000197
A_73_110779	ENSBTAG00000000199
A_73_P441096	ENSBTAG00000000199
A_73_P095836	ENSBTAG00000023697
A_73_105854	ENSBTAG00000000202
A_73_P350471	ENSBTAG00000000202
A_73_107579	ENSBTAG00000000203
A_73_P400991	ENSBTAG00000000204
A_73_P375386	ENSBTAG00000000204
A_73_P349691	ENSBTAG00000000205
A_73_108541	ENSBTAG00000000205
A_73_P503348	ENSBTAG00000000205
A_73_103410	ENSBTAG00000000207
A_73_P096171	ENSBTAG00000000210
A_73_P305361	ENSBTAG00000000213
A_73_108971	ENSBTAG00000000213
A_73_P344406	ENSBTAG00000000213
A_73_P341391	ENSBTAG00000000212
A_73_101369	ENSBTAG00000000212
A_73_P072096	ENSBTAG00000000215
A_73_P396406	ENSBTAG00000000215
A_73_109939	ENSBTAG00000000219
A_73_P381276	ENSBTAG00000000219
A_73_P078971	ENSBTAG00000000218
A_73_P039851	ENSBTAG00000000225
A_73_P366391	ENSBTAG00000000225
A_73_P059876	ENSBTAG00000000226
A_73_P446856	ENSBTAG00000013481
A_73_102936	ENSBTAG00000000231
A_73_P038616	ENSBTAG00000000231
A_73_120506	ENSBTAG00000000232
A_73_P039476	ENSBTAG00000000236
A_73_P319881	ENSBTAG00000000237
A_73_P066931	ENSBTAG00000000237
A_73_118132	ENSBTAG00000000238
A_73_P363311	ENSBTAG00000000240
A_73_P503378	ENSBTAG00000000240
A_73_110360	ENSBTAG00000000240
A_73_P366486	ENSBTAG00000000241
A_73_P319821	ENSBTAG00000000241
A_73_101372	ENSBTAG00000000241
A_73_P123061	ENSBTAG00000000243
A_73_112706	ENSBTAG00000000243
A_73_118282	ENSBTAG00000000245
A_73_109267	ENSBTAG00000000246
A_73_P261201	ENSBTAG00000000244
A_73_P273426	ENSBTAG00000000244
A_73_P061531	ENSBTAG00000000244
A_73_113297	ENSBTAG00000000250
A_73_P035921	ENSBTAG00000000251
A_73_P251851	ENSBTAG00000000251
A_73_119595	ENSBTAG00000000252
A_73_P083616	ENSBTAG00000019868
A_73_P040366	ENSBTAG00000000257
A_73_P093296	ENSBTAG00000051542
A_73_P258726	ENSBTAG00000051542
A_73_110294	ENSBTAG00000000259
A_73_100607	ENSBTAG00000000260
A_73_107654	ENSBTAG00000000264
A_73_P323892	ENSBTAG00000000266
A_73_P303711	ENSBTAG00000000266
A_73_P051846	ENSBTAG00000000266
A_73_P065021	ENSBTAG00000000267
A_73_P142141	ENSBTAG00000000269
A_73_118572	ENSBTAG00000000269
A_73_P492933	ENSBTAG00000000269
A_73_P047866	ENSBTAG00000000271
A_73_P088806	ENSBTAG00000000274
A_73_P048401	ENSBTAG00000000274
A_73_111391	ENSBTAG00000000277
A_73_100982	ENSBTAG00000000278
A_73_118949	ENSBTAG00000000279
A_73_109654	ENSBTAG00000000281
A_73_P092786	ENSBTAG00000000283
A_73_P060686	ENSBTAG00000000284
A_73_P486043	ENSBTAG00000000285
A_73_P381331	ENSBTAG00000000285
A_73_P376156	ENSBTAG00000000285
A_73_113979	ENSBTAG00000000285
A_73_102467	ENSBTAG00000000287
A_73_119946	ENSBTAG00000000289
A_73_P398326	ENSBTAG00000000289
A_73_P346171	ENSBTAG00000000289
A_73_P338231	ENSBTAG00000000291
A_73_P073496	ENSBTAG00000000291
A_73_P331371	ENSBTAG00000000292
A_73_117911	ENSBTAG00000000292
A_73_P427861	ENSBTAG00000000292
A_73_P322766	ENSBTAG00000000292
A_73_P110196	ENSBTAG00000000295
